b8,-77,683,659
17,-77,683,705
17,-84,782,708
b8,-77,782,708
17,-84,662,708
17,-73,553,708
2a,-94,553,708
17,-79,553,708
17,-73,553,708
cd,-102,553,708
17,-79,553,708
2a,-102,553,708
17,-77,553,708
17,-76,553,708
17,-73,507,708
17,-83,507,708
17,-75,507,812
17,-78,507,905
17,-91,507,905
17,-75,507,905
2a,-102,507,905
17,-70,507,905
17,-71,384,905
17,-73,336,905
3,-98,336,905
17,-74,336,905
62,-100,336,1012
43,-94,283,1012
17,-77,283,1012
62,-102,283,1064
17,-72,283,1064
43,-98,283,1088
17,-78,283,1088
62,-102,283,1148
17,-79,283,1148
43,-91,283,1226
17,-73,283,1226
62,-101,283,1226
17,-75,283,1226
43,-93,283,1318
17,-87,283,1328
62,-98,283,1314
17,-77,283,1314
43,-91,197,1314
17,-77,197,1314
62,-101,154,1314
3,-99,142,1314
62,-100,142,1314
43,-98,89,1236
43,-93,255,1303
43,-99,255,1303
2a,-95,255,1303
43,-97,255,1303
62,-102,255,1303
43,-93,255,1303
3,-95,255,1303
43,-95,255,1303
3,-98,255,1303
62,-98,255,1303
43,-91,255,1303
43,-98,255,1303
3,-99,255,1303
2a,-98,255,1303
3,-101,255,1303
f8,-102,255,1303
43,-93,255,1303
3,-94,255,1303
43,-93,255,1303
2a,-97,255,1303
51,-101,255,1303
62,-96,255,1303
43,-93,300,1303
43,-92,300,1159
51,-101,285,1122
51,-89,312,1024
51,-97,270,978
43,-97,270,978
51,-99,126,978
51,-91,94,843
51,-88,94,843
51,-93,94,843
51,-95,94,933
51,-92,194,933
51,-95,289,701
51,-98,289,452
b8,-77,84,487
b8,-71,84,569
51,-100,84,569
b8,-68,147,591
51,-99,147,591
43,-101,152,591
b8,-75,262,591
b8,-62,292,591
51,-98,292,591
b8,-64,333,631
b8,-66,333,729
51,-100,333,729
b8,-67,333,817
b8,-72,474,924
51,-96,474,924
43,-96,474,924
b8,-71,409,924
b8,-72,262,924
51,-100,262,924
b8,-69,309,924
b8,-70,309,924
b8,-75,309,924
b8,-79,309,924
b8,-73,309,924
b8,-61,309,924
b8,-84,446,924
b8,-75,513,924
b8,-72,513,1051
b8,-73,513,1168
17,-79,513,1174
b8,-79,513,1174
17,-93,587,1174
b8,-86,587,1174
17,-75,593,1174
b8,-81,593,1174
b8,-75,655,1174
17,-81,731,1174
b8,-73,731,1174
17,-82,764,1174
b8,-75,764,1174
17,-91,755,1174
b8,-89,755,1174
17,-91,851,1174
b8,-86,851,1174
17,-81,916,1174
b8,-84,916,1174
d7,-100,976,1174
17,-84,976,1174
b8,-82,976,1174
17,-93,961,1174
d7,-101,959,1190
17,-92,959,1190
17,-92,959,1223
b8,-80,959,1223
17,-86,959,1256
b8,-90,959,1256
b8,-85,879,1256
17,-82,820,1256
b8,-86,820,1256
17,-86,735,1256
b8,-73,735,1256
17,-79,670,1256
17,-84,590,1256
b8,-79,590,1256
d7,-102,538,1256
b8,-84,538,1256
17,-86,489,1256
b8,-79,489,1256
b8,-91,489,1403
17,-83,489,1403
b8,-73,489,1403
d7,-101,489,1403
b8,-78,489,1403
17,-92,489,1403
b8,-96,489,1403
17,-81,489,1403
b8,-72,489,1403
17,-102,572,1403
b8,-79,572,1403
f8,-102,572,1403
17,-88,572,1403
b8,-73,572,1403
b8,-75,572,1373
43,-99,572,1373
17,-86,572,1373
b8,-78,572,1373
b8,-80,572,1476
17,-81,572,1528
b8,-78,572,1528
17,-81,572,1588
b8,-79,572,1588
17,-83,572,1588
17,-79,572,1588
b8,-71,572,1588
f8,-99,572,1588
b8,-78,455,1588
17,-81,449,1588
f8,-102,449,1588
17,-79,382,1588
b8,-74,382,1588
b8,-81,382,1588
f8,-100,382,1588
17,-79,310,1588
b8,-95,310,1588
17,-85,310,1588
b8,-86,310,1588
f8,-99,310,1588
17,-78,244,1588
17,-81,202,1588
b8,-94,194,1588
17,-79,160,1588
b8,-99,160,1588
17,-84,70,1588
b8,-92,70,1588
b8,-84,70,1674
f8,-100,70,1674
17,-99,70,1674
b8,-90,70,1674
17,-93,70,1674
b8,-87,70,1674
17,-95,133,1674
b8,-84,133,1674
17,-88,140,1674
b8,-83,140,1674
17,-78,218,1674
b8,-81,218,1674
17,-82,279,1674
b8,-85,279,1674
17,-78,279,1674
b8,-95,279,1674
17,-79,345,1674
b8,-76,345,1674
17,-82,408,1674
b8,-79,408,1674
17,-79,461,1674
b8,-78,461,1674
f8,-94,461,1674
b8,-76,514,1674
17,-87,514,1771
b8,-91,514,1771
b8,-92,514,1823
b8,-85,519,1821
f8,-96,519,1821
b8,-93,473,1821
17,-89,473,1770
b8,-82,473,1770
b8,-88,473,1770
17,-84,423,1770
b8,-81,417,1770
f8,-94,417,1770
17,-82,380,1770
17,-79,304,1770
b8,-86,304,1770
17,-74,304,1770
b8,-90,304,1770
17,-83,240,1770
b8,-84,240,1770
17,-86,228,1770
17,-82,175,1770
17,-79,101,1770
b8,-87,101,1770
17,-85,50,1770
b8,-96,50,1770
17,-88,47,1770
b8,-100,47,1770
17,-86,47,1770
b8,-90,47,1770
17,-99,47,1770
b8,-97,47,1770
f8,-94,47,1955
b8,-85,47,1955
17,-93,47,1956
17,-94,169,1975
17,-86,263,1975
17,-81,287,1975
17,-79,287,1975
17,-86,370,1975
f8,-97,370,1975
17,-87,523,1975
f8,-98,523,1975
f8,-95,523,2143
17,-88,523,2143
d7,-102,522,1679
